Carimbo de data/hora,Qual faixa etária você se encaixa?,"Se você tivesse que escolher um computador hoje, quais caminhos você tomaria para realizar sua escolha? ",Você já se frustrou por comprar algum item devido a falta de informações?,Para qual finalidade você usaria seu computador?,Você utiliza um computador com qual frequência?
18/04/2021 13:19:13,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Trabalho e lazer,3 a 5 vezes por semana.
18/04/2021 13:25:28,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador.",Sim,Estudo e entretenimento ,6 ou mais vezes por semana.
18/04/2021 13:55:41,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Estudo e pesquisas ,1 a 2 vezes por semana.
18/04/2021 14:33:36,41 anos ou +,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,"Pesquisa, compra, planilhas, fotos, etc",3 a 5 vezes por semana.
20/04/2021 08:36:11,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,Estudos,6 ou mais vezes por semana.
20/04/2021 09:01:52,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,Estudos,6 ou mais vezes por semana.
21/04/2021 09:23:13,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Para ver videos,6 ou mais vezes por semana.
21/04/2021 09:24:43,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Sim,Estudos,1 a 2 vezes por semana.
21/04/2021 09:28:11,41 anos ou +,Recorreria à alguém com conhecimento na área.,Não,"Para pesquisas, jpgos,etc.",1 a 2 vezes por semana.
21/04/2021 09:28:43,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,"Estudos, pesquisas, uso pessoal como ver vídeos, netflix",3 a 5 vezes por semana.
21/04/2021 09:30:43,21 a 30 anos,"Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Projetos e renderizações. ,6 ou mais vezes por semana.
21/04/2021 09:33:56,41 anos ou +,Recorreria à alguém com conhecimento na área.,Não,Atividades diversas,6 ou mais vezes por semana.
21/04/2021 09:37:47,31 a 40 anos,Olhando as especificações técnicas do computador.,Não,Trabalho,6 ou mais vezes por semana.
21/04/2021 09:37:59,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Trabalho,1 a 2 vezes por semana.
21/04/2021 09:39:04,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho ,3 a 5 vezes por semana.
21/04/2021 09:41:14,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Trabalho,1 a 2 vezes por semana.
21/04/2021 09:42:38,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,"Gravar áudio, acessar a internet, ver filmes",3 a 5 vezes por semana.
21/04/2021 09:44:17,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,"Para utilidades, necessárias e diversões sadias!",6 ou mais vezes por semana.
21/04/2021 09:45:36,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,"Hoje , pra tudo. Dependemos de internet. ",6 ou mais vezes por semana.
21/04/2021 09:47:21,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Trabalho e estudo ,6 ou mais vezes por semana.
21/04/2021 09:48:36,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Entretenimento ,1 a 2 vezes por semana.
21/04/2021 09:49:02,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho,3 a 5 vezes por semana.
21/04/2021 09:52:49,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Sim,Trabalho e estudos ,6 ou mais vezes por semana.
21/04/2021 09:53:54,41 anos ou +,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,"Trabalho, lazer",6 ou mais vezes por semana.
21/04/2021 09:54:43,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho e estudo,1 a 2 vezes por semana.
21/04/2021 09:55:59,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho ,3 a 5 vezes por semana.
21/04/2021 10:03:13,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Pesquisa,3 a 5 vezes por semana.
21/04/2021 10:11:37,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Trabalho e Estudos,3 a 5 vezes por semana.
21/04/2021 10:16:15,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalhos e escola e redes socias.,6 ou mais vezes por semana.
21/04/2021 10:16:45,41 anos ou +,Recorreria à alguém com conhecimento na área.,Não,Para fazer minhas matrizes e cursos.,1 a 2 vezes por semana.
21/04/2021 10:19:17,41 anos ou +,Recorreria à alguém com conhecimento na área.,Não,Trabalho,3 a 5 vezes por semana.
21/04/2021 10:21:19,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,"Trabalho, estudo",6 ou mais vezes por semana.
21/04/2021 10:38:55,21 a 30 anos,"Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Trabalho e estudos,6 ou mais vezes por semana.
21/04/2021 10:45:00,14 a 20 anos,Olhando as especificações técnicas do computador.,Não,"Estudo,trabalho e jogos",6 ou mais vezes por semana.
21/04/2021 10:46:55,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador.",Sim,"Estudar, jogar, trabalhar etc",6 ou mais vezes por semana.
21/04/2021 10:47:06,41 anos ou +,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,"Trabalho, pesquisa, pra tudo na verdade",3 a 5 vezes por semana.
21/04/2021 10:47:36,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Não,"Estudo, trabalho, entretenimento",6 ou mais vezes por semana.
21/04/2021 10:53:18,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,"Trabalho, escola das crianças , pesquisa ,etc ",6 ou mais vezes por semana.
21/04/2021 10:54:03,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Estudar e compras,6 ou mais vezes por semana.
21/04/2021 10:54:33,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Trabalho e estudo,6 ou mais vezes por semana.
21/04/2021 10:54:55,21 a 30 anos,"Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Não,Jogar e fazer trabalhos dentro dos pacotes Adobe ,3 a 5 vezes por semana.
21/04/2021 10:55:16,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador.",Sim,Estudos e jogos,6 ou mais vezes por semana.
21/04/2021 10:55:25,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Pra uso da família,Não utilizo um computador.
